Itr,train-AverageReturn,Time-Optimization,train-EnvExecTime,train-MinReturn,Time-SampleProc,train-NumTrajs,LossAfter,n_timesteps,Time-Sampling,train-AverageDiscountedReturn,train-MaxReturn,train-PolicyExecTime,train-StdReturn,LossBefore,Time,ItrTime
90,103.86925684382523,0.1951751708984375,2.1492137908935547,19.836086692378316,0.08251261711120605,100,-0.014475724,910000,6.0837013721466064,60.39404101513644,184.79802538661266,3.738680124282837,30.823921522085755,-1.1397915e-05,575.0968263149261,6.3617284297943115
91,106.53363118047328,0.23647451400756836,2.1356372833251953,-39.75224341894671,0.04361414909362793,100,-0.015907919,920000,6.035140752792358,61.6967150927815,212.04427878161562,3.705656051635742,37.56844527900462,-1.1385279e-05,581.4225747585297,6.315532207489014
92,105.25927638086912,0.22414207458496094,2.0892930030822754,-15.630903565111574,0.040483951568603516,100,-0.014871554,930000,5.947197914123535,60.98178090427152,180.98915143267232,3.665980100631714,31.48531159497451,-1.1336623e-05,587.6450335979462,6.212108612060547
93,108.30905091853647,0.25026845932006836,2.0335512161254883,-74.92155264246671,0.042697906494140625,100,-0.017508535,940000,5.78949236869812,63.520665689137694,184.07445333858522,3.5677361488342285,39.539265318943414,-1.1304487e-05,593.7377693653107,6.082685947418213
94,110.76794114689092,0.22943472862243652,2.2167954444885254,-35.33325380407939,0.04346919059753418,100,-0.014732831,950000,6.296201944351196,64.42398112133115,206.21784951306552,3.8766746520996094,36.411255761298484,-1.1295171e-05,600.3199248313904,6.569488763809204
95,114.90297029863177,0.2004680633544922,2.078760862350464,-58.67966144744009,0.06902718544006348,100,-0.013412576,960000,5.950169563293457,67.09089727663162,177.16040064737373,3.6798477172851562,35.95513515085108,-1.1265316e-05,606.5510318279266,6.2199156284332275
96,101.40842782406577,0.23736310005187988,2.0307862758636475,-45.62871491861488,0.04736208915710449,100,-0.015263178,970000,5.796499967575073,59.97656772315262,183.0551272038931,3.5786702632904053,37.50229378593857,-1.1252998e-05,612.6416954994202,6.081507444381714
97,107.61176562281337,0.21854209899902344,2.2142140865325928,11.953234042486095,0.04716968536376953,100,-0.014551228,980000,6.278826713562012,62.18659235392469,198.40828119653756,3.8633522987365723,35.50088194500581,-1.1211105e-05,619.1968448162079,6.544799566268921
98,111.65048194097297,0.2167656421661377,2.107844591140747,-72.83993008616258,0.03657937049865723,100,-0.0152631225,990000,5.962382555007935,64.69718558706036,196.95306386628957,3.6591806411743164,36.70896268042734,-1.1191095e-05,625.4233419895172,6.216036081314087
99,112.58210306304686,0.22905254364013672,2.0085771083831787,-45.70214373908046,0.04732561111450195,100,-0.014896749,1000000,5.799680709838867,66.20429345815052,197.27320606008405,3.6059930324554443,41.96777790453712,-1.1164295e-05,631.5093150138855,6.076409339904785
