Iteration	TimestepsThisBatch	Time	PoolSize	TimestepsSoFar	Episodes	LastEpReturn	MaxEpReturn
331	1000	4418.412964820862	333000	333000	480	2998.3298987656303	3052.229891001767
332	1000	4430.568539142609	334000	334000	481	2694.3503633311307	3052.229891001767
333	1000	4443.2799508571625	335000	335000	482	1461.3712971406096	3052.229891001767
334	1000	4455.319979190826	336000	336000	484	1782.2287405554857	3052.229891001767
335	1000	4467.189701318741	337000	337000	488	405.7639779598254	3052.229891001767
336	1000	4478.917855978012	338000	338000	489	296.16005613394213	3052.229891001767
337	1000	4490.9692368507385	339000	339000	490	854.6513624931731	3052.229891001767
338	1000	4503.030956745148	340000	340000	492	848.485339107534	3052.229891001767
339	1000	4516.233984231949	341000	341000	493	3180.518927308238	3180.518927308238
340	1000	4528.203363418579	342000	342000	494	609.4738121193939	3180.518927308238
341	1000	4540.399708032608	343000	343000	495	2995.8441457927534	3180.518927308238
342	1000	4552.5009870529175	344000	344000	496	2911.5787390839205	3180.518927308238
343	1000	4564.411191701889	345000	345000	497	2898.534132797217	3180.518927308238
344	1000	4576.6032383441925	346000	346000	499	1802.2917858364103	3180.518927308238
345	1000	4589.176316738129	347000	347000	500	2860.6001150566303	3180.518927308238
346	1000	4601.83021569252	348000	348000	501	2825.7218775323986	3180.518927308238
347	1000	4613.821660280228	349000	349000	502	3133.480842807851	3180.518927308238
348	1000	4625.714548110962	350000	350000	503	202.8233423992633	3180.518927308238
349	1000	4638.189325809479	351000	351000	504	3007.5982318416563	3180.518927308238
350	1000	4650.786649942398	352000	352000	505	3081.9851255968183	3180.518927308238
351	1000	4663.144235372543	353000	353000	506	2782.420897811397	3180.518927308238
352	1000	4675.046689271927	354000	354000	507	2338.21236936843	3180.518927308238
353	1000	4687.20996260643	355000	355000	508	3065.9770582155293	3180.518927308238
354	1000	4699.64830994606	356000	356000	509	1569.8841384868897	3180.518927308238
355	1000	4711.727025508881	357000	357000	510	3092.5650140569173	3180.518927308238
356	1000	4724.30029296875	358000	358000	513	2063.074082965086	3180.518927308238
